Row,CMPP,RPPV,TIME_1900,RCPP,SOLSTATE
503460,3.111909,2591.418,44194.789514926,4.211909,0
503461,3.111909,2591.418,44194.789515665,4.211909,0
503462,3.11061,2591.418,44194.789516407,4.21061,0
503463,3.111909,2591.418,44194.789517147,4.211909,0
503464,3.111909,2591.418,44194.789517888,4.211909,0
503465,3.113212,2591.418,44194.789518628,4.213212,0
503466,3.111909,2591.418,44194.789519370,4.211909,0
503467,3.111909,2591.418,44194.789520111,4.211909,0
503468,3.111909,2591.418,44194.789520851,4.211909,0
503469,3.11061,2591.418,44194.789521593,4.21061,0
503470,3.111909,2591.418,44194.789522332,4.211909,0
503471,3.111909,2591.418,44194.789523074,4.211909,0
503472,3.11061,2591.418,44194.789523814,4.21061,0
503473,3.111909,2591.418,44194.789524555,4.211909,0
503474,3.111909,2591.418,44194.789525295,4.211909,0
503475,3.11061,2591.418,44194.789526036,4.21061,0
503476,3.111909,2591.418,44194.789526778,4.211909,0
503477,3.111909,2570.176,44194.789527518,4.211909,0
503478,3.111909,2591.418,44194.789528259,4.211909,0
503479,3.111909,2570.176,44194.789528999,4.211909,0
503480,3.111909,2570.176,44194.789529741,4.211909,0
503481,3.111909,2570.176,44194.789530480,4.211909,0
503482,3.111909,2570.176,44194.789531222,4.211909,0
503483,3.111909,2570.176,44194.789531962,4.211909,0
503484,3.11061,2570.176,44194.789532703,4.21061,0
503485,3.11061,2570.176,44194.789533445,4.21061,0
503486,3.111909,2570.176,44194.789534184,4.211909,0
503487,3.11061,2570.176,44194.789534926,4.21061,0
503488,3.11061,2570.176,44194.789535666,4.21061,0
503489,3.111909,2570.176,44194.789536407,4.211909,0
503490,3.111909,2570.176,44194.789537147,4.211909,0
503491,3.11061,2570.176,44194.789537889,4.21061,0
503492,3.111909,2570.176,44194.789538628,4.211909,0
503493,3.111909,2570.176,44194.789539370,4.211909,0
503494,3.11061,2570.176,44194.789540110,4.21061,0
503495,3.111909,2570.176,44194.789540851,4.211909,0
503496,3.111909,2570.176,44194.789541593,4.211909,0
503497,3.111909,2570.176,44194.789542332,4.211909,0
503498,3.111909,2548.935,44194.789543074,4.211909,0
503499,3.111909,2548.935,44194.789543814,4.211909,0
503500,3.111909,2548.935,44194.789544555,4.211909,0
503501,3.111909,2548.935,44194.789545295,4.211909,0
503502,3.111909,2548.935,44194.789546037,4.211909,0
503503,3.111909,2548.935,44194.789546776,4.211909,0
503504,3.111909,2548.935,44194.789547518,4.211909,0
503505,3.111909,2548.935,44194.789548259,4.211909,0
503506,3.11061,2548.935,44194.789548999,4.21061,0
503507,3.11061,2548.935,44194.789549741,4.21061,0
503508,3.111909,2548.935,44194.789550480,4.211909,0
503509,3.11061,2548.935,44194.789551222,4.21061,0
503510,3.11061,2548.935,44194.789551962,4.21061,0
503511,3.111909,2548.935,44194.789552703,4.211909,0
